lat,lon,terrai_cod,terrai_nom
-7.84090625410822,-66.180850922244,201,Acimã
-7.49964720525082,-66.7799980280491,9801,Catipari/Mamoria
-4.67070396642697,-59.1364954950524,10101,Coata-Laranjal
-7.9640278698907,-62.2316145805831,11001,Diahui
-9.11134896716167,-37.1109332178593,13101,Fulni-ô
-9.63518173843475,-48.3112011334806,13201,Funil
-5.01801238073574,-45.6978833711314,13501,Geralda Toco Preto
-27.502818723194,-52.6781933940195,14701,Guarani Votouro
-27.4367470618256,-53.6498871758194,14801,Guarita
-17.6167966930663,-57.7321020464954,15001,Guató
-6.95716281061664,-65.743789703399,15201,Hi Merimã
-8.83418118781548,-72.1928518405278,18401,Jaminawa Arara do Rio Bagé
-8.03267886958573,-72.9078024092097,18501,Jaminawa do Igarapé Preto
-10.7357207507395,-58.2328492391904,18601,Japuira
-7.1630739137556,-65.4041444820274,19001,Jarawara/Jamamadi/Kanamati
-14.467955352546,-59.1553997446776,19501,Juininha
-7.35611995463021,-63.9734744269169,19601,Juma
-8.63700085174623,-71.7331534977221,20301,Kampa do Igarapé Primavera
-9.30227333841119,-72.9720374021882,20401,Kampa do Rio Amonea
-6.21467965883634,-45.2066947369504,20702,Kanela Memortumré
-9.16553416782463,-38.3886950704542,20801,Kantaruré
-14.8770112568282,-51.0801221515147,21201,Karajá de Aruanã III
-4.10869054894423,-52.9416299926308,21501,Kararaô
-10.0012506486138,-64.4856158261078,21601,Karipuna
-20.5779985056395,-56.2781105512541,25101,Lalima
-27.9550033072098,-51.9426065997494,25501,Ligeiro
-12.5628665307922,-62.5721945067122,27701,Massaco
-12.7397028324763,-59.9321099873588,36101,Pirineus de Souza
-2.88621184362786,-65.1290361771862,36801,Porto Praia
-6.68912375985883,-35.0021788780914,36901,Potiguara
-12.812344194503,-61.1050846759707,40101,Rio Omerê
0.614425582273954,-54.513709332586,40201,Rio Paru DEste
-3.63259652610101,-45.5167819152829,40301,Rio Pindaré
-6.46672219588223,-58.0005472908847,40901,Sai-Cinza
-15.4475875039728,-53.8610288676746,41101,Sangradouro/Volta Grande
4.17427388357909,-61.3676082183687,41201,Santa Inez
-7.89075629378779,-65.7940385720724,41901,São Pedro do Sepatini
-7.20196292371692,-61.6237225253866,42301,Sepoti
-27.6671204280887,-52.8725824193512,42701,Serrinha
-8.49266400973008,-61.1709823164175,44701,Tenharim do Igarapé Preto
-13.140702066165,-58.4160426338955,45501,Tirecatinga
-6.32276063151451,-61.6419196593942,45901,Torá
-4.66296900841489,-51.4890351565172,46201,Trincheira Bacaja
-3.64758190559602,-49.8255551329051,46302,Trocará - Doação
-0.0108853435644749,-58.6867483255014,46401,Trombetas/Mapuera
-8.51752609567677,-39.4193295471402,46601,Truká
-2.37565666746284,-67.3761320963859,47701,Uati-Paraná
-14.5669492218014,-53.5044945062693,47801,Ubawawe
-27.7986082360858,-52.2779904011985,49101,Ventarra
-3.56114158061648,-68.3907146153317,49301,Vui-Uata-In
-27.2191191236063,-52.5644649452513,701,Aldeia Kondá
-5.93477237700182,-64.7115853985452,34501,Paumari do Lago Paricá
-7.37262442383745,-64.9790276686913,34601,Paumari do Rio Ituxi
-8.1499405389985,-67.0944779084518,34701,Peneri/Tacaquiri
-0.614892492852491,-66.176243223817,40401,Rio Téa
-14.1692196821654,-55.4472342345568,41301,Santana
-4.54933858182569,-69.7330983447107,41701,São Leopoldo
-2.78574661350289,-55.8238713127153,55101,Maró
-15.0276594062234,-39.1221000175559,55501,Tupinambá de Olivença
-11.2713486284858,-50.7160983165046,58301,São Domingos - MT
3.913165331165,-60.8024518485617,58401,São Marcos - RR
-9.44042461127427,-71.8953429825833,67601,Igarapé Taboca do Alto Tarauacá (restrição de uso)
-3.41989854919433,-59.4301772396916,69001,Sissaíma
0.0458424650118372,-60.4420693962833,73708,Pirititi (restrição de uso)
-19.3407833065184,-45.0754654219724,60701,Caxixó
-10.9418209637003,-57.3950440810939,2301,Apiaka/Kayabi
-8.39576523777938,-58.105430160833,68301,Apiaká do Pontal e Isolados
-27.3808039550211,-48.7607877083518,72901,Amaral/Tekoá Kuriy
-11.0155345753357,-59.3569100547016,42601,Serra Morena
-2.7605893739226,-67.093192961307,11601,Espírito Santo
-4.35246247809769,-70.004144247185,6501,Bom Intento
-10.8685631941216,-69.9701157659516,7301,Cabeceira do Rio Acre
-12.2280038183188,-59.1392223945064,11201,Enawenê-Nawê
-8.65731577026264,-37.8671276979272,20201,Kambiwá
-6.20237728563964,-61.9706722707865,24701,Lago Jauari
-3.98215245984761,-38.2712370495088,24901,Lagoa  Encantada
-0.188978061877963,-66.3011955335914,28601,Médio Rio Negro II
-14.2643386838225,-59.8575886990115,34801,Pequizal
-3.10413442604305,-58.9510742964871,40501,Rio Urubu
-11.7493012076964,-53.0638730804041,49801,Wawi
-14.883248450001,-44.2883810143858,49901,Xacriabá
-4.70273309512943,-62.6552319622384,45103,Itixi Mitari
-24.0156729040121,-50.7521934796704,45201,Tibagy/Mococa
-3.14698929397752,-65.0202112942221,47201,Tupã-Supé
-13.4051667909791,-43.7824213576906,48901,Vargem Alegre
-3.05950186247466,-68.9393424287948,57101,Porto Limoeiro
-3.22561404344283,-59.3756793664065,58502,Boa Vista
-25.2170630958978,-52.3499298954858,58601,Boa Vista - PR
-11.3583349126527,-50.8051487296543,58701,Cacique Fontoura
-3.29088284870066,-48.4122331991088,58801,Barreirinha
-12.3490169139486,-43.3229022324436,69801,Fazenda Remanso
-2.60358844434814,-66.8291655426044,46701,Tubarão Latunde
-27.3733010428513,-48.9396988395108,72801,Águas Claras
-5.63696359905293,-52.0372823248857,3002,Apyterewa
3.62554431998848,-61.1060628760637,3101,Araçá
-3.75176448295425,-53.0483902054653,3201,Arara
-9.77240642651634,-59.5996941977986,3301,Arara do Rio Branco
-8.42979770606393,-72.3768738736221,3401,Arara do Igarapé Humaitá
-3.60603932289511,-51.6805163507617,60001,Arara da Volta Grande do Xingu
3.90717967417077,-60.963960282975,51601,Anaro
-12.9522706334408,-53.9261858474729,6001,Batovi
-7.35715575761077,-54.4799773280174,6101,Baú
-3.04526421155569,-68.0944963719108,6201,Betania
-23.3528077950528,-44.9990181520687,6302,Boa Vista Sertão do Promirim
3.45155462307407,-59.8425219487268,6601,Bom Jesus
-10.7372100298273,-50.1328371013199,17001,Inawebohona
-10.1402277367128,-36.8332853256797,21702,Kariri-Xocó
3.36337081509051,-61.1489461822282,2201,Anta
-5.06977807614453,-46.4242762198798,3601,Arariboia
-6.11993051244728,-62.276318936546,4301,Ariramba
-13.8392543918336,-48.2381561729049,4602,Avá-Canoeiro
-8.85727708466607,-52.0052679061472,5001,Badjonkore
-20.9066032964373,-55.1679966158512,7002,Buriti
-23.4373295400482,-53.4320327912919,50401,Herarekâ Xetá
-16.966021710056,-56.5576172539347,5101,Baia dos Guató
-14.2977458246238,-54.6228380384082,5201,Bakairi
-22.1707665760444,-54.8363254454415,11101,Dourados
-26.5782107526881,-52.3607370453568,45801,Toldo Imbu
-27.3396522992291,-48.6639206003797,73001,Morro da Palha
-17.0284494636191,-39.2392375975396,65101,Comexatibá
-20.6583213061041,-57.2421729911429,20001,Kadiwéu
-15.557237610522,-53.0572852459896,29001,Merure
-15.2156811732732,-52.7150169017985,58101,São Marcos - MT
-9.53421226380021,-48.1143937341693,50301,Xerente
-3.5558190585759,-67.0145728926091,53501,Riozinho
-27.2983462883496,-48.7407951365783,72701,Canelinha
-25.2913269895107,-52.7018989298645,39001,Rio das Cobras
3.30585259957351,-61.0519657930254,5601,Barata Livramento
-16.8647094612625,-39.3348674399542,5802,Barra Velha do Monte Pascoal
-16.8581383015651,-39.2281144370556,5801,Barra Velha
-20.0960504102622,-56.2206042379919,7702,Cachoeirinha
-7.8697947273701,-64.7719978355755,8101,Caititu
-3.98153711052352,-63.3743548521928,8301,Cajuhiri Atravessado
-7.22707864977325,-67.1087792384107,8401,Camadeni
-8.63293650582465,-67.5761224985521,8501,Camicua
-5.61836048352949,-45.5452013298435,8701,Cana Brava/Guajajara
-3.10510088446981,-39.9617834819675,10401,Córrego João Pereira
-3.51761449150207,-59.2062694231407,10601,Cuia
-3.76135174538533,-69.5974859995093,12101,Évare I
-13.9653145898483,-39.2027999864752,12401,Fazenda Bahiana
-8.77402847459363,-37.6960728054483,12601,Tuxá de Inajá
-3.75193240065157,-60.5259846283614,12901,Fortaleza do Castanho
-3.14587515212109,-60.739000038712,13001,Fortaleza do Patauá
-26.8072105690084,-49.6999764561702,15301,Ibirama
-26.7836145590002,-49.7583271471536,15302,Ibirama La Klanô
-8.86191321976599,-68.1455105399357,15601,Igarapé Capana
-8.27308469941131,-70.6962983390047,15701,Igarapé do Caucho
-10.4718797145291,-61.6446923833188,16201,Igarapé Lourdes
-25.5243779903816,-48.4402378737216,16501,Ilha da Cotinga
-3.67268942248157,-61.4998003139159,16601,Ilha do  Camaleão
-7.92706294753519,-68.2041096877579,16901,Inauini/Teuini
-27.8505951706673,-53.8916183739231,17101,Inhacorá
-6.77724315883565,-62.1683799113457,17201,Ipixuna
-3.5625908327789,-59.1970610038547,17501,Itaitinga
-24.0847589936248,-46.6982068464669,17601,Itaóca
-24.5863522562223,-51.5852722391734,17701,Ivai
3.20907432873782,-60.2899641633393,17801,Jabuti
1.99120258701162,-59.8673219397417,17901,Jacamim
-6.73562935268033,-35.0837920211041,18001,Jacaré de São Domingos
-23.0546728319572,-54.9188587717867,18201,Jaguari
-9.52360514143082,-71.0681226940097,18301,Jaminaua/Envira
-9.39670655463066,-66.2954648637602,22001,Kaxarari
-9.52232834684182,-72.3104079584327,22101,Kaxinawá Ashaninka do Rio Breu
-23.86409331117,-46.6210050338274,23601,Krukutu
-13.2620681765966,-60.1876112193081,25001,Lagoa dos Brincos
-23.2832259381321,-50.4078761013238,25301,Laranjinha
-2.91972910921314,-67.1411268985841,25901,Macarrão
-5.11919333445556,-48.9185567341567,26001,Mãe Maria
-10.6688373599001,-70.2692388937124,26201,Mamoadate
-25.8934112081424,-52.3246673060638,26401,Mangueirinha
2.94940770129983,-60.0785272848122,26501,Manoa/Pium
-2.13782662277054,-67.2116923198677,26601,Mapari
-1.63214014804043,-65.5093429240619,26701,Maraã Urubaxi
-11.6861164330513,-50.3708619329246,33501,Parque do Araguaia
-11.5667046168135,-59.9053944545452,33601,Parque do Aripuanã
1.58216441417213,-55.4670912069646,33701,Parque do Tumucumaque
-8.87131897468261,-49.6997926196116,27101,Maranduba
-13.9560755813764,-53.9732712919936,27201,Marechal Rondon
-10.4291164669071,-38.7786753412773,27601,Massacara
-9.37883170247576,-36.6344312779671,27901,Mata da Cafurna
-8.62024718523064,-53.322827521524,28701,Menkragnoti
-12.2721627423361,-58.2987515851301,28802,Menkü
-3.22347259603296,-64.853374492817,28901,Meria
-5.79826120684429,-46.1024184441324,29501,Morro Branco
2.75838997090723,-60.1666676431817,29701,Moskow
-7.45365895389099,-57.5578036801097,29801,Munduruku
2.56274617055257,-60.2082326113174,30001,Muriru
-3.37018567199023,-59.2198818839886,30101,Murutinga/Tracaja
-12.9391206432038,-59.47215920236,30201,Nambikwara
-22.2416379323506,-56.0371216725646,30301,Ñande Ru Marangatu
-0.819204063327881,-58.1096092607866,30501,Nhamundá/Mapuera
-27.3579099190696,-52.9254872119487,30701,Nonoai
-27.4258144730018,-53.0417852585662,30801,Nonoai/Rio da Várzea
-12.0065928536579,-53.4022026273611,33801,Parque do Xingu
-3.44327251888332,-59.300102479717,33901,Patauá
-20.3675292341671,-56.1349496744708,30901,Nossa Senhora de Fátima
-3.57787709914168,-68.7372371569211,31001,Nova Esperança do Rio Jandiatuba
-7.43367611441834,-62.5723774687948,31201,Nove de Janeiro
-7.3708660642913,-73.4656623606461,31301,Nukini
-21.2501324374368,-52.1340286710115,31401,Ofayé-Xavante
-21.2621317567056,-52.166513654448,31402,Ofayé-Xavante
-31.1680658371417,-51.7846639947146,31701,Pacheca
-3.74252058288406,-59.1828110752887,31901,Padre
-26.5323463359663,-52.0695660867405,32002,Palmas
-22.1252294433597,-54.6702497010702,32101,Panambizinho
-9.36813755325795,-54.1833553177359,32201,Panará
-3.45848558382862,-51.7677518043128,32602,Paquiçamba
-14.3814438392865,-53.1695502849191,32701,Parabubure
-4.79747688212369,-50.1311512421764,32901,Parakanã
-3.21853276749126,-58.6541881183908,33001,Paraná do Arauató
-1.66791396036791,-67.1273830762601,33101,Parana do Boa Boa
-1.87717994144758,-65.8388491322615,33201,Parana do Paricá
-23.2544359072626,-44.651815169958,33301,Parati-Mirim
-14.2586426712974,-58.6464251012338,33401,Paresi
-14.8085358481041,-59.4905981834498,34101,Sararé
-6.06616435781717,-64.9036455690555,34201,Paumari do Cuniua
-5.80194169657656,-64.5946991844237,34302,Paumari do Lago Manissuã
-7.62704537674881,-65.2363472216787,34401,Paumari do Lago Marahã
-24.1850125249918,-46.9850370716578,35001,Peruíbe
-24.231677063246,-46.9400953487377,35101,Piaçaguera
-13.4228870773539,-51.6340655901308,35301,Pimentel Barbosa
-27.1409633261829,-52.4625406189597,35502,Toldo Pinhal
-7.10637067738481,-62.0933869558732,35701,Pirahã
-23.953880628168,-55.283058413685,35901,Pirajuí
-3.93993567780427,-38.6333696024114,36201,Pitaguary
-22.8479680125992,-55.1176183057485,37801,Rancho Jacaré
4.33440430242594,-60.267288706796,37901,Raposa Serra do Sol
-3.5453801884507,-59.1994031396558,38001,Recreio/São Félix
-4.82609686385617,-67.7253846786217,38501,Rio Biá
-5.74000262240822,-54.5861273697889,38902,Kuruáya
-27.18189437689,-53.4120199247767,39101,Rio dos Índios
-8.42786832179714,-71.7211955297765,39401,Rio Gregório
-8.36428013945324,-71.7623315929734,39402,Rio Gregório
-11.9510755026228,-64.7147758160088,39501,Rio Guaporé
-3.84272757675179,-59.8885031227294,39601,Rio Jumas
-12.6283193099346,-61.74255693622,39801,Rio Mequens
-11.0828379750504,-64.6359842521177,40001,Rio Negro Ocaia
-11.0788709252523,-64.6612398568698,40002,Rio Negro Ocaia
-29.0603910413075,-53.2327371124922,41001,Salto Grande do Jacuí
-3.73208484401873,-59.2374340786646,41801,São Pedro
-2.67186911390402,-67.5950151315259,42001,São Sebastião
1.39346651204295,-59.637861965048,49601,WaiWái
-7.12826859043896,-49.1643901612214,50101,Xambioá
-26.7422561327715,-52.5106024325026,50201,Xapecó
-6.35732477298159,-50.8137544639969,50501,Xikrin do Rio Catete
-5.42990146614711,-54.6832846166288,50601,Xipaya
2.16050182806986,-63.5018040647219,50901,Yanomami
-0.122046974233048,-55.78677333663,51001,Zoe
-10.5853493857251,-60.8211474903257,51101,Zoró
-6.91128757256577,-66.3951298129068,51201,Zuruahã
-11.1460991904432,-56.5926900687661,52401,Batelão
-2.67255789489257,-67.4821570271763,53401,Prosperidade
-23.5929160015901,-54.7682055802878,42201,Sassoró
-8.16658761893111,-66.8442625029623,42801,Seruini/Mariene
-23.5768295856293,-55.4657160090465,42901,Sete Cerros
-5.00472212413466,-60.0938151362662,43101,Setemã
2.9688789333716,-61.157443485855,43301,Sucuba
-21.6526905315766,-55.1099547149825,43401,Sucuriy
-3.73044246288367,-60.4043367218274,43601,Tabocal
-23.7628528989119,-55.1642872530555,43901,Takuaraty/Yvykuarusu
-23.2172808805864,-55.4331477427004,44101,Taquaperi
-22.7381549713371,-54.6240219686029,44201,Taquara
-20.256803351052,-56.0717002279266,44401,Taunay/Ipegue
-25.0190267986521,-54.0671726256139,44501,Tekohá Añetete
-2.867696439723,-46.2508921976519,1501,Alto Turiaçu
-5.56925394321159,-63.1369116462611,2701,Apurinã do Igarapé São João
-2.68535173170856,-48.2741416133848,44601,Tembé
-9.91687640670907,-36.7168242634088,45402,Tingui Botó
-3.57793935754379,-49.7099914098276,46301,Trocará
-27.4413845395508,-52.6651491301643,49201,Votouro
1.12710897640154,-52.8982485587287,49401,Waiãpi
-0.840658741110712,-60.6646850495929,49501,Waimiri-Atroari
-7.87017137383122,-49.9109087749339,56801,Las Casas
-16.1509970446796,-59.4787862972141,57001,Portal do Encantado
-2.81941047701628,-67.3588239259431,58201,São Domingos do Jacapari e Estação
-23.3071529109453,-50.4700399407984,64001,Yvyporã Laranjinha
-3.09333381592605,-40.0242326646328,64601,Tremembé de Queimadas
-21.9826308722193,-54.6180693493795,64801,Panambi - Lagoa Rica
-27.864943401699,-51.7710201506993,65301,Passo Grande do Rio Forquilha
-11.0526830582281,-51.4697747031442,65801,Krenrehé
-8.3220164684566,-64.41880078567,65901,Jacareúba/Katauixi (restrição uso)
-17.5605365883922,-41.269487750856,66001,Mundo Verde/Cachoeirinha
-12.6529152467971,-61.3683399086377,66301,Tanaru ( restrição de uso )
-9.66940480149908,-61.0009671622559,66901,Piripkura ( restrição de uso )
-15.939213085129,-39.1794675772023,68901,Tupinambá de Belmonte
-4.0891049004015,-52.007763668682,72601,Ituna/Itata (restrição de uso)
-11.9555309170895,-49.7932087887019,73301,Taego Ãwa
-13.5460986712249,-51.3098945887433,73601,Wedezé
-23.4240034381504,-54.7082865311596,73702,Iguatemipegua I
-12.17043696076,-43.2512397328219,5701,Barra
-3.41689305972223,-64.63601980201,5901,Barreira da Missão
